x_value: 1.0*2^-127, y_value: 1.2324277*2^4
x_value: 1.5156248*2^6, y_value: 1.9877865*2^3



x_value: 1.5312498*2^6, y_value: 1.3020001*2^4



x_value: 1.5468747*2^6, y_value: 1.0435878*2^4



x_value: 1.5624998*2^6, y_value: 1.1230992*2^4



x_value: 1.5781247*2^6, y_value: 1.4312062*2^4



x_value: 1.5937497*2^6, y_value: 1.1926719*2^4



x_value: 1.6093746*2^6, y_value: 1.1330384*2^4



x_value: 1.6249998*2^6, y_value: 1.4013896*2^4



x_value: 1.6406247*2^6, y_value: 1.2026107*2^4



x_value: 1.6562497*2^6, y_value: 1.0535267*2^4



x_value: 1.6718746*2^6, y_value: 1.4212673*2^4



x_value: 1.6874997*2^6, y_value: 1.2821224*2^4



x_value: 1.7031246*2^6, y_value: 1.1032215*2^4



x_value: 1.7187496*2^6, y_value: 1.4013896*2^4



x_value: 1.7343745*2^6, y_value: 1.4312062*2^4



x_value: 1.7499998*2^6, y_value: 1.2224887*2^4



x_value: 1.7656247*2^6, y_value: 1.2821224*2^4



x_value: 1.7812497*2^6, y_value: 1.4411452*2^4



x_value: 1.7968746*2^6, y_value: 1.2026107*2^4



x_value: 1.8124997*2^6, y_value: 1.1628552*2^4



x_value: 1.8281246*2^6, y_value: 1.4113284*2^4



x_value: 1.8437496*2^6, y_value: 1.2125496*2^4



x_value: 1.8593745*2^6, y_value: 1.1429774*2^4



x_value: 1.8749997*2^6, y_value: 1.3715726*2^4



x_value: 1.8906246*2^6, y_value: 1.2026107*2^4



x_value: 1.9062496*2^6, y_value: 1.0833437*2^4



x_value: 1.9218745*2^6, y_value: 1.4212673*2^4



x_value: 1.9374996*2^6, y_value: 1.3318171*2^4



x_value: 1.9531245*2^6, y_value: 1.2920614*2^4



x_value: 1.9687495*2^6, y_value: 1.4013896*2^4



x_value: 1.9843744*2^6, y_value: 1.5703517*2^4



x_value: 1.0*2^7, y_value: 1.3020001*2^4



